session_id,image_path,image_group,frame_id,detection_id,source_type,class_id,class_name,confidence,old_status,new_status,old_reject_reason,new_reject_reason,original_class_id,original_class_name,new_class_id,new_class_name,corrected_class_id,corrected_class_name,class_corrected_by_color,correction_reason,color_correction_score,review_candidate,review_reason,mask_density,mask_area,box_area,red_ratio,orange_ratio,warm_ratio,green_yellow_ratio,bbox_x,bbox_y,bbox_w,bbox_h,promoted_by_policy,promotion_reason,heuristic_type,anchor_detection_id,anchor_bunch_class,anchor_bunch_confidence,child_detection_ids,child_count,weak_child_count,strong_child_count,weighted_child_count,ripe_evidence_score,unripe_evidence_score,dominant_maturity,heuristic_score,bbox_source
session_20260630_103628,images_ok_raw/ok_20260630_103849_000072.jpg,images_ok_raw,72,3,model,2,unripe,0.879973,weak,color_corrected,weak/noise bad_color gy=0.00,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.992337,False,,0.654135,16704.0,23175.171875,0.900383,0.091954,0.992337,0.0,297.125,518.34375,165.5,140.03125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103852_000073.jpg,images_ok_raw,73,0,model,2,unripe,0.806853,weak,color_corrected,weak/noise conf 0.81<0.85 bad_color gy=0.04,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.9368420000000001,False,,0.659722,6080.0,7153.162598,0.705263,0.273684,0.978947,0.042105,663.40625,256.78125,81.15625,88.140625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103853_000074.jpg,images_ok_raw,74,1,model,2,unripe,0.827826,weak,color_corrected,weak/noise conf 0.83<0.85 bad_color gy=0.05,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.945055,False,,0.69697,5888.0,6840.480469,0.802198,0.197802,1.0,0.054945,665.96875,180.0,79.65625,85.875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103856_000075.jpg,images_ok_raw,75,0,model,2,unripe,0.887981,weak,color_corrected,weak/noise bad_color gy=0.08,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.884956,False,,0.678571,7296.0,8341.21582,0.707965,0.256637,0.964602,0.079646,631.65625,271.5625,85.46875,97.59375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103901_000076.jpg,images_ok_raw,76,0,model,2,unripe,0.842865,weak,review,weak/noise conf 0.84<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.767857,11008.0,12960.34082,0.0,0.0,0.0,1.0,294.6875,305.53125,118.664062,109.21875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103908_000079.jpg,images_ok_raw,79,0,model,2,unripe,0.823327,weak,review,weak/noise conf 0.82<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.785714,10560.0,11891.496094,0.0,0.503106,0.503106,0.906832,623.0,610.328125,110.25,107.859375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103908_000079.jpg,images_ok_raw,79,1,model,1,ripe,0.786623,weak,review,weak/noise conf 0.79<0.80,near_threshold_ripe_color_mask_support,1,ripe,1,ripe,,,False,,,True,near_threshold_ripe_color_mask_support,0.742857,9984.0,11765.43457,0.831169,0.155844,0.987013,0.012987,648.15625,492.375,104.84375,112.21875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103910_000081.jpg,images_ok_raw,81,1,model,2,unripe,0.834406,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.775362,27392.0,33059.445312,0.0,0.521226,0.521226,0.966981,635.5625,141.125,180.40625,183.25,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103912_000082.jpg,images_ok_raw,82,0,model,2,unripe,0.822188,weak,review,weak/noise conf 0.82<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.715415,23168.0,29182.21875,0.0,0.0,0.0,1.0,887.34375,264.625,170.65625,171.0,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103913_000083.jpg,images_ok_raw,83,2,model,2,unripe,0.843897,weak,review,weak/noise conf 0.84<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.764103,19072.0,22928.851562,0.0,0.0,0.0,1.0,323.0,601.96875,198.25,115.65625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103920_000089.jpg,images_ok_raw,89,2,model,2,unripe,0.814053,weak,review,weak/noise conf 0.81<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.768595,5952.0,6956.171875,0.0,0.430108,0.430108,0.913979,577.75,353.375,82.75,84.0625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103920_000089.jpg,images_ok_raw,89,3,model,2,unripe,0.804406,weak,review,weak/noise conf 0.80<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.763636,5376.0,5973.26709,0.0,0.0,0.0,1.0,477.0,477.53125,73.84375,80.890625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103920_000089.jpg,images_ok_raw,89,4,model,2,unripe,0.782663,weak,color_corrected,weak/noise conf 0.78<0.85 bad_color gy=0.07,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.885416,False,,0.727273,6144.0,6778.25293,0.78125,0.177083,0.958333,0.072917,594.21875,261.8125,79.4375,85.328125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103921_000090.jpg,images_ok_raw,90,2,model,2,unripe,0.834406,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.745562,8064.0,9824.734375,0.0,0.0,0.0,1.0,448.75,480.09375,96.765625,101.53125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103921_000090.jpg,images_ok_raw,90,3,model,2,unripe,0.825588,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.816327,10240.0,11223.104492,0.0,0.436709,0.436709,0.905063,435.8125,367.09375,108.109375,103.8125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103924_000091.jpg,images_ok_raw,91,1,model,2,unripe,0.743169,weak,color_corrected,weak/noise conf 0.74<0.85 bad_color gy=0.02,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.97561,False,,0.722222,15808.0,19005.087891,0.849594,0.150407,1.0,0.02439,23.4375,293.6875,139.375,136.359375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103925_000092.jpg,images_ok_raw,92,6,model,2,unripe,0.806853,weak,review,weak/noise conf 0.81<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.657143,8832.0,10823.359375,0.0,0.0,0.0,1.0,310.875,371.4375,105.59375,102.5,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103926_000093.jpg,images_ok_raw,93,1,model,2,unripe,0.90731,strong,color_corrected,,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.6464639999999999,False,,0.737037,12736.0,15059.380859,0.0,0.924242,0.924242,0.277778,484.375,569.71875,111.0625,135.59375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103927_000094.jpg,images_ok_raw,94,1,model,2,unripe,0.828937,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.768889,11072.0,13289.180664,0.021978,0.0,0.021978,0.967033,442.734375,536.140625,114.515625,116.046875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103931_000095.jpg,images_ok_raw,95,2,model,2,unripe,0.699254,weak,color_corrected,weak/noise conf 0.70<0.85,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.555556,False,,0.680556,3136.0,3708.417969,0.444444,0.222222,0.666667,0.111111,760.15625,370.0625,65.78125,56.375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103934_000097.jpg,images_ok_raw,97,3,model,2,unripe,0.654895,weak,color_corrected,weak/noise conf 0.65<0.85 bad_color gy=0.03,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.6896549999999999,False,,0.708333,3264.0,3656.237793,0.517241,0.206897,0.724138,0.034483,770.0,366.90625,64.109375,57.03125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103935_000098.jpg,images_ok_raw,98,4,model,2,unripe,0.640635,weak,color_corrected,weak/noise conf 0.64<0.85 bad_color gy=0.04,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.75,False,,0.694444,3200.0,3666.265625,0.666667,0.125,0.791667,0.041667,777.84375,368.640625,64.25,57.0625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103937_000099.jpg,images_ok_raw,99,1,model,2,unripe,0.886417,weak,color_corrected,weak/noise bad_color gy=0.03,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.890625,False,,0.690909,4864.0,5497.883789,0.015625,0.90625,0.921875,0.03125,397.28125,21.21875,73.03125,75.28125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103937_000099.jpg,images_ok_raw,99,3,model,2,unripe,0.633411,weak,color_corrected,weak/noise conf 0.63<0.85 bad_color gy=0.04,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.666667,False,,0.694444,3200.0,3850.125488,0.518519,0.185185,0.703704,0.037037,760.75,424.28125,66.203125,58.15625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103938_000100.jpg,images_ok_raw,100,2,model,2,unripe,0.884835,weak,color_corrected,weak/noise bad_color gy=0.00,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.9,False,,0.69,4416.0,5292.117188,0.033333,0.866667,0.9,0.0,395.03125,393.421875,71.5,74.015625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103938_000100.jpg,images_ok_raw,100,3,model,1,ripe,0.770463,weak,review,weak/noise conf 0.77<0.80,near_threshold_ripe_color_mask_support,1,ripe,1,ripe,,,False,,,True,near_threshold_ripe_color_mask_support,0.613636,3456.0,4843.410156,0.962264,0.0,0.962264,0.0,301.296875,418.5625,79.953125,60.578125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103943_000105.jpg,images_ok_raw,105,5,model,2,unripe,0.923591,weak,color_corrected,weak/noise bad_color gy=0.06,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.8990830000000001,False,,0.748366,14656.0,17703.90625,0.0,0.963303,0.963303,0.06422,664.5,401.8125,131.75,134.375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103945_000106.jpg,images_ok_raw,106,5,model,2,unripe,0.939916,weak,color_corrected,weak/noise bad_color gy=0.00,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.946429,False,,0.7825,20032.0,24566.080078,0.021429,0.928571,0.95,0.003571,666.9375,408.234375,154.125,159.390625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103946_000107.jpg,images_ok_raw,107,3,model,2,unripe,0.929948,weak,color_corrected,weak/noise bad_color gy=0.01,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.9273610000000001,False,,0.755,28992.0,36082.03125,0.024213,0.912833,0.937046,0.009685,673.1875,418.5625,187.5,192.4375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103946_000107.jpg,images_ok_raw,107,5,model,1,ripe,0.759223,weak,review,weak/noise conf 0.76<0.80,near_threshold_ripe_color_mask_support,1,ripe,1,ripe,,,False,,,True,near_threshold_ripe_color_mask_support,0.622609,22912.0,35124.609375,0.337838,0.040541,0.378378,0.094595,728.625,537.625,193.125,181.875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103947_000108.jpg,images_ok_raw,108,2,model,2,unripe,0.954645,weak,color_corrected,weak/noise bad_color gy=0.00,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.954217,False,,0.707692,29440.0,36533.65625,0.014458,0.942169,0.956627,0.00241,1013.75,87.875,188.5,193.8125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103948_000109.jpg,images_ok_raw,109,2,model,2,unripe,0.950414,weak,color_corrected,weak/noise bad_color gy=0.00,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.950617,False,,0.712308,29632.0,36654.492188,0.037037,0.91358,0.950617,0.0,1013.5625,87.75,189.0625,193.875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103949_000110.jpg,images_ok_raw,110,4,model,2,unripe,0.925768,weak,color_corrected,weak/noise bad_color gy=0.00,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.950739,False,,0.712963,14784.0,18105.65625,0.039409,0.916256,0.955665,0.004926,901.3125,170.3125,133.375,135.75,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103950_000111.jpg,images_ok_raw,111,3,model,2,unripe,0.895525,weak,color_corrected,weak/noise bad_color gy=0.01,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.928571,False,,0.637755,8000.0,9794.80957,0.017857,0.919643,0.9375,0.008929,1046.21875,206.0,98.90625,99.03125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103951_000112.jpg,images_ok_raw,112,3,model,2,unripe,0.920793,weak,color_corrected,weak/noise bad_color gy=0.01,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.9056599999999999,False,,0.715976,7744.0,9280.335938,0.04717,0.867925,0.915094,0.009434,452.03125,225.53125,92.6875,100.125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103952_000113.jpg,images_ok_raw,113,0,model,2,unripe,0.818738,weak,review,weak/noise conf 0.82<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.704545,5952.0,6898.862305,0.11236,0.595506,0.707865,0.460674,390.25,573.3125,83.78125,82.34375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103953_000114.jpg,images_ok_raw,114,1,model,2,unripe,0.817577,weak,color_corrected,weak/noise conf 0.82<0.85 bad_color gy=0.08,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.796875,False,,0.681818,5760.0,6682.478516,0.375,0.5,0.875,0.078125,487.46875,186.3125,83.875,79.671875,False,,,,,,,,,,,,,,,
